id,program_name,university_name,official_url,review_status,suggested_original_fee_rule,rationale
poland-jagiellonian-university-in-krakow-erasmus-mundus-joint-master-degree-in-european-politics-and-society-e,Erasmus Mundus Joint Master Degree in European Politics and Society (EPS): Vaclav Havel,Jagiellonian University in Kraków,https://ces.uj.edu.pl/programmes/graduate/erasmus-mundus-programmes/eps,unresolved,,No safe fee rule found yet
poland-adam-mickiewicz-university-poznan-ethnology-poznan-master,Ethnology,"Adam Mickiewicz University, Poznań",https://etnologia.amu.edu.pl/creole/,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-european-studies-krakow-bachelor,European studies,Jagiellonian University in Kraków,https://studia.uj.edu.pl/en_GB/kierunki/wsmip/europe.stud,unresolved,,No safe fee rule found yet
poland-the-john-paul-ii-catholic-university-of-lublin-european-studies-lublin-bachelor,European Studies,The John Paul II Catholic University of Lublin,https://kandydat.kul.pl/en/strona-glowna/studia-i-stopnia/europeistyka-grupa-jezyku-angielskim/,conditional,85 PLN or 100 PLN,Programme-specific entrance-exam risk
poland-jagiellonian-university-in-krakow-european-studies-krakow-master,European Studies,Jagiellonian University in Kraków,https://studia.uj.edu.pl/kierunki/wsmip/europe.stud,unresolved,,No safe fee rule found yet
poland-the-john-paul-ii-catholic-university-of-lublin-european-union-law-lublin-master,European Union Law,The John Paul II Catholic University of Lublin,https://kandydat.kul.pl/en/studia-ii-stopnia/prawo-unii-europejskiej-grupa-jezyku-angielskim/,conditional,85 PLN or 100 PLN,Programme-specific entrance-exam risk
poland-wroc-aw-university-of-economics-and-business-finance-wroc-aw-bachelor,Finance,Wrocław University of Economics and Business,https://rekrutacja.uew.pl/kierunki-studiow/finance/,unresolved,,No safe fee rule found yet
poland-vistula-university-finance-and-accounting-warsaw-master,Finance and accounting,Vistula University,https://vistula.edu.pl/en/major/finance-and-acounting-with-acca-ii,unresolved,,No safe fee rule found yet
poland-vistula-university-finance-and-accounting-warsaw-bachelor,Finance and accounting,Vistula University,http://www.vistula.edu.pl,unresolved,,No safe fee rule found yet
poland-poznan-university-of-economics-and-business-finance-and-accounting-poznan-bachelor,Finance and accounting,Poznań University of Economics and Business,"http://ue.poznan.pl/en/programmes,c7330/bachelor,c7332/finance,c9074/",unresolved,,No safe fee rule found yet
poland-university-of-gdansk-finance-and-accounting-gdansk-master,Finance and accounting,University of Gdansk,https://en.ug.edu.pl/study/educational_offer/20202021/finance_and_accounting-full-time-masters,unresolved,,No safe fee rule found yet
poland-university-of-gdansk-finance-and-accounting-gdansk-bachelor,Finance and accounting,University of Gdansk,https://en.ug.edu.pl/study/educational_offer/20202021/finance_and_accounting_a_specialization_financial_analyst-full-time-bachelors,unresolved,,No safe fee rule found yet
poland-university-college-of-enterprise-and-administration-in-lublin-finance-and-accounting-lublin-bachelor,Finance and accounting,University College of Enterprise and Administration in Lublin,http://www.en.wspa.pl/education/undergraduate_programs/finance_and_accounting,unresolved,,No safe fee rule found yet
