id,program_name,university_name,original_deadline,action_taken
poland-university-college-of-enterprise-and-administration-in-lublin-computer-science-lublin-bachelor,Computer science,University College of Enterprise and Administration in Lublin,2016-08-31,Cleared stale deadline
poland-university-of-humanities-and-economics-in-lodz-computer-science-odz-bachelor,Computer science,University of Humanities and Economics in Lodz,2020-08-31,Cleared stale deadline
poland-university-of-information-technology-and-management-computer-science-rzeszow-master,Computer science,University of Information Technology and Management,2016-09-30,Cleared stale deadline
poland-vistula-university-computer-science-warsaw-master,Computer science,Vistula University,2024-05-31,Cleared stale deadline
poland-lodz-university-of-technology-computer-science-odz-bachelor,Computer science,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-the-university-of-dabrowa-gornicza-computer-science-dabrowa-gornicza-bachelor,Computer science,The University of Dąbrowa Górnicza,2017-09-30,Cleared stale deadline
poland-kielce-university-of-technology-computer-science-kielce-bachelor,Computer science,Kielce University of Technology,2024-08-31,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-computer-science-wroc-aw-bachelor,Computer science,Wrocław University of Science and Technology,2021-08-14,Cleared stale deadline
poland-university-of-zielona-gora-computer-science-and-econometrics-zielona-gora-bachelor,Computer science and econometrics,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-university-of-zielona-gora-computer-science-and-econometrics-zielona-gora-master,Computer science and econometrics,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-conducting-katowice-bachelor,Conducting,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-conducting-katowice-master,Conducting,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-control-engineering-and-robotics-wroc-aw-master,Control engineering and robotics,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-silesian-university-of-technology-control-electronics-and-information-engineering-ceie-gliwice-master,"Control, Electronics, and Information Engineering (CEIE)",Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-cracow-university-of-economics-corporate-finance-and-accounting-krakow-master,Corporate finance and accounting,Cracow University of Economics,2016-06-26,Cleared stale deadline
poland-university-of-gdansk-criminal-justice-gdansk-bachelor,Criminal Justice,University of Gdansk,2020-08-17,Cleared stale deadline
poland-poznan-university-of-life-sciences-crop-plant-biology-and-production-poznan-bachelor,Crop Plant Biology and Production,Poznań University of Life Sciences,2025-05-30,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-cultural-studies-poznan-master,Cultural studies,"Adam Mickiewicz University, Poznań",2023-09-13,Cleared stale deadline
poland-lazarski-university-data-analytics-big-data-and-coding-warsaw-bachelor,"Data Analytics, Big Data and Coding",Lazarski University,2024-08-30,Cleared stale deadline
poland-military-university-of-technology-data-engineering-warsaw-master,Data Engineering,Military University of Technology,2025-02-03,Cleared stale deadline
poland-university-of-zielona-gora-data-engineering-zielona-gora-master,Data Engineering,University of Zielona Gora,2024-02-15,Cleared stale deadline
poland-university-of-zielona-gora-data-engineering-zielona-gora-bachelor,Data Engineering,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-gdansk-university-of-technology-data-engineering-gdansk-bachelor,Data Engineering,Gdańsk University of Technology,2024-07-10,Cleared stale deadline
poland-medical-university-of-silesia-dentistry-silesia-master,Dentistry,Medical University of Silesia,2020-08-21,Cleared stale deadline
poland-medical-university-of-warsaw-dentistry-warsaw-master,Dentistry,Medical University of Warsaw,2021-06-25,Cleared stale deadline
poland-wroc-aw-medical-university-dentistry-wroc-aw-master,Dentistry,Wrocław Medical University,2017-07-23,Cleared stale deadline
poland-poznan-university-of-medical-sciences-dentistry-poznan-master,Dentistry,Poznan University of Medical Sciences,2022-07-31,Cleared stale deadline
poland-jagiellonian-university-in-krakow-drug-discovery-and-development-krakow-master,Drug Discovery and Development,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-jagiellonian-university-in-krakow-earth-sciences-in-a-changing-world-krakow-bachelor,Earth Sciences in a Changing World,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-bialystok-university-of-technology-eco-engineering-bia-ystok-master,Eco-engineering,Bialystok University of Technology,2017-01-15,Cleared stale deadline
poland-bialystok-university-of-technology-eco-engineering-bia-ystok-bachelor,Eco-engineering,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-gdansk-university-of-technology-economic-analytics-gdansk-master,Economic Analytics,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-lazarski-university-economics-warsaw-master,Economics,Lazarski University,2024-08-30,Cleared stale deadline
poland-university-of-warsaw-economics-warsaw-master,Economics,University of Warsaw,2016-07-11,Cleared stale deadline
poland-university-of-warsaw-economics-warsaw-phd,Economics,University of Warsaw,2015-04-15,Cleared stale deadline
poland-poznan-university-of-life-sciences-economics-and-finance-management-in-agri-food-sector-poznan-bachelor,Economics and Finance Management in Agri-Food Sector,Poznań University of Life Sciences,2025-06-30,Cleared stale deadline
poland-poznan-university-of-economics-and-business-economics-and-it-applications-poznan-master,Economics and IT Applications,Poznań University of Economics and Business,2017-06-01,Cleared stale deadline
poland-university-of-szczecin-economics-and-it-applications-szczecin-bachelor,Economics and IT Applications,University of Szczecin,2024-09-10,Cleared stale deadline
poland-polish-japanese-academy-of-information-technology-economics-and-it-applications-warsaw-bachelor,Economics and IT Applications,Polish-Japanese Academy of Information Technology,2025-09-30,Cleared stale deadline
poland-warsaw-university-of-life-sciences-sggw-economy-warsaw-master,Economy,Warsaw University of Life Sciences - SGGW,2017-06-01,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-education-czestochowa-phd,Education,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-military-university-of-technology-electrical-engineering-warsaw-master,Electrical engineering,Military University of Technology,2025-12-31,Cleared stale deadline
poland-warsaw-university-of-technology-electrical-engineering-warsaw-master,Electrical engineering,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-warsaw-university-of-technology-electrical-engineering-warsaw-bachelor,Electrical engineering,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-silesian-university-of-technology-silesian-univeristy-of-technology-gliwice-bachelor,Silesian Univeristy of Technology,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-electrical-engineering-wroc-aw-master,Electrical engineering,Wrocław University of Science and Technology,2021-06-14,Cleared stale deadline
poland-silesian-university-of-technology-electrical-engineering-gliwice-master,Electrical engineering,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-lodz-university-of-technology-electronics-odz-master,Electronics,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-bialystok-university-of-technology-electronics-bia-ystok-phd,Electronics,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-electronics-wroc-aw-master,Electronics,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-bialystok-university-of-technology-electronics-and-telecommunications-bia-ystok-master,Electronics and telecommunications,Bialystok University of Technology,2017-01-15,Cleared stale deadline
poland-agh-university-of-krakow-electronics-and-telecommunications-krakow-bachelor,Electronics and telecommunications,AGH University of Krakow,2025-09-04,Cleared stale deadline
poland-gdansk-university-of-technology-electronics-and-telecommunications-gdansk-master,Electronics and telecommunications,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-military-university-of-technology-electronics-and-telecommunications-warsaw-phd,Electronics and telecommunications,Military University of Technology,2016-08-31,Cleared stale deadline
poland-military-university-of-technology-electronics-and-telecommunications-warsaw-master,Electronics and telecommunications,Military University of Technology,2025-12-31,Cleared stale deadline
poland-lodz-university-of-technology-energy-technologies-odz-master,Energy Technologies,Lodz University of Technology,2025-03-03,Cleared stale deadline
poland-university-of-opole-english-in-public-communication-opole-bachelor,English in public communication,University of Opole,2020-09-25,Cleared stale deadline
poland-lazarski-university-english-module-warsaw-short-course,English module,Lazarski University,2024-09-30,Cleared stale deadline
poland-university-of-warsaw-english-studies-warsaw-bachelor,English studies,University of Warsaw,2016-07-08,Cleared stale deadline
poland-university-of-opole-english-studies-opole-bachelor,English studies,University of Opole,2020-09-25,Cleared stale deadline
poland-university-of-zielona-gora-english-studies-zielona-gora-master,English studies,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-university-of-warsaw-english-studies-warsaw-master,English studies,University of Warsaw,2016-06-06,Cleared stale deadline
poland-university-of-opole-english-studies-opole-master,English studies,University of Opole,2020-09-25,Cleared stale deadline
poland-university-of-zielona-gora-english-studies-zielona-gora-bachelor,English studies,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-state-higher-vocational-school-in-walcz-english-studies-wa-cz-bachelor,English studies,State Higher Vocational School in Walcz,2014-07-10,Cleared stale deadline
